128	1.30337	1.30566	1.30268	1.14863
129	1.16469	1.13465	1.14031	0.91492
130	0.98914	1.0011	0.99763	0.65999
131	0.80056	0.80794	0.82205	0.47236
132	0.64271	0.65107	0.64277	0.30412
133	0.51412	0.49961	0.50148	0.16532
134	0.3725	0.37099	0.36621	0.08376
135	0.25472	0.26311	0.25224	0.03621
136	0.18391	0.18444	0.17835	0.01408
137	0.11728	0.12178	0.10076	0.00439
138	0.08261	0.09187	0.05791	5.48622E-4
139	0.04598	0.05041	0.03382	0
140	0.02926	0.02827	0.01807	0
141	0.01131	0.01437	0.01135	
142	0.00369	0.0073	0.00347	
143	0.00443	0.00165	9.26516E-4	
144	9.83487E-4	7.06656E-4	2.31629E-4	
145	4.91744E-4	4.71104E-4	2.31629E-4	
--	4.91744E-4	7.06656E-4		
