1	17.9048	20.22811	22.96968	24.43737	25.22536
2	22.43043	27.82271	29.01352	28.82606	34.76418
3	24.34298	32.45053	29.19361	29.1776	39.80694
4	28.23964	38.19024	32.54846	33.24729	41.29065
5	31.65906	40.55177	35.32296	38.14228	41.42807
6	35.69073	38.42291	37.73007	41.33245	47.66111
7	39.03545	40.46122	36.89888	46.42924	49.26788
8	40.29739	42.74996	38.82446	45.12956	50.88486
9	43.64037	43.09508	40.42911	49.59861	53.62023
10	46.65275	47.40973	41.22249	47.02587	57.04227
11	45.44897	49.28594	43.42531	48.37639	61.65702
12	47.96824	49.89902	45.09185	50.71668	64.1605
13	49.89908	49.9728	45.42701	52.11438	65.68263
14	49.49129	48.87292	49.80769	56.51215	66.71917
15	51.25991	52.31019	53.13776	55.83262	70.70795
16	54.05746	55.99926	52.77343	59.48378	73.45888
17	55.70918	58.81227	56.70964	58.43364	75.11278
18	57.18686	58.69317	58.72167	59.81467	76.28522
19	58.39663	57.67295	59.8363	59.38531	75.20745
20	59.12553	61.13693	59.37893	62.26597	76.9429
21	58.11747	60.44038	62.3289	63.61303	78.25982
22	59.79741	62.02408	62.31826	62.51947	82.27112
23	61.54591	60.70334	61.27194	69.00211	82.94779
24	63.31677	63.21332	66.11703	66.49795	84.1632
25	64.25429	65.38211	64.60817	69.20274	82.24707
26	66.65616	68.53171	67.48828	71.3468	83.68612
27	67.36742	67.97592	67.07279	72.90109	88.37559
28	69.80519	68.69343	71.04087	71.70738	87.57674
29	71.71902	68.72297	69.95072	75.56533	88.02789
30	74.04309	68.30702	71.39007	75.32379	88.4065
31	68.63676	72.11204	74.0249	76.93448	88.89244
32	74.98749	71.68325	74.03883	79.71974	92.76219
33	74.29682	74.12331	74.7299	77.50973	94.77257
34	72.72378	75.12156	75.1767	80.35666	95.64298
35	73.03273	76.8021	76.21866	83.59816	100.13359
36	75.38303	79.97271	81.73649	84.2798	98.8031
37	77.3992	76.78245	83.3362	88.28136	102.06018
38	80.547	79.7868	83.5379	87.97339	104.24722
39	79.02537	80.22472	82.91479	90.80736	108.24773
40	81.04404	84.62185	81.83719	91.5039	109.1524
41	81.29146	86.89552	87.74207	93.47078	108.14051
42	84.72603	88.39324	87.09146	95.49889	110.4047
43	84.30916	89.514	87.5442	95.04895	111.04655
44	86.27255	93.30021	88.55375	95.50456	112.49586
45	86.64986	90.228	92.48596	97.22599	113.50775
46	87.15082	87.96165	92.72734	98.39108	115.50934
47	88.33634	89.40473	93.0705	101.02094	118.47415
48	94.50659	90.7051	98.52772	103.44669	114.85972
49	91.45832	92.1477	94.62137	103.42915	120.60143
50	90.76007	94.17692	99.13365	105.22319	116.80665
51	94.69267	91.80354	98.67106	106.29297	120.95955
52	95.93604	95.80096	95.56254	108.38814	118.71298
53	98.4794	95.7657	98.43093	106.57897	122.41665
54	100.49703	96.43342	98.66754	108.97741	122.29503
55	101.40159	96.27782	99.33998	110.02584	122.45169
56	101.9764	98.36333	98.93962	113.90841	127.94899
57	105.35969	101.1409	97.18479	115.45113	128.27519
58	105.19856	101.97056	100.79261	114.98007	126.1937
59	103.59003	105.92448	99.84474	113.23737	127.85704
60	109.52976	104.21253	101.57716	113.94613	130.57461
61	109.62869	104.64748	103.56429	114.32775	127.16533
62	110.787	104.84754	106.98643	114.44478	132.02029
63	111.82853	108.30356	105.02612	116.26197	133.5389
64	113.15673	108.9936	108.78542	116.39681	137.59836
65	114.41822	110.7047	110.11473	117.44562	136.94156
66	115.10945	112.38818	110.23016	120.5611	138.85506
67	117.64759	114.3053	109.63136	120.86443	138.30129
68	119.93324	112.57497	110.58154	123.02356	139.45957
69	119.29821	112.99041	110.37056	124.63361	142.08192
70	118.75609	114.33164	110.25321	126.36803	145.37
71	118.49686	114.81943	111.96988	128.40376	144.23519
72	122.05758	117.93427	117.88707	129.69698	142.93784
73	123.16793	115.29708	116.25616	127.29488	146.05649
74	120.55578	115.65254	117.97069	135.25057	146.48598
75	124.29074	116.13696	117.76175	131.14142	146.27498
76	121.74847	118.62963	117.45408	136.16289	148.57972
77	127.49994	121.13029	120.03478	134.94259	147.08255
78	126.98029	124.40885	120.46667	138.65167	149.07266
79	127.9164	123.30065	120.46559	136.04979	153.694
80	130.95763	122.25848	124.93395	139.86533	155.95912
