1 168 660
2 168 670
3 172 664
4 174 671
5 169 670
6 169 680
7 168 680
8 166 687
9 165 692
10 168 686
11 167 679
12 168 682
13 167 673
14 166 686
15 168 691
16 169 691
17 169 685
18 171 689
19 170 687
20 168 692
21 168 690
22 172 687
23 170 691
24 168 681
25 169 683
26 172 689
27 169 690
28 170 694
29 172 688
30 170 690
31 172 692
32 172 685
33 167 688
34 167 687
35 169 689
36 166 693
37 166 700
38 165 694
39 169 701
40 167 694
41 167 702
42 168 698
43 170 690
44 167 694
45 169 694
46 167 691
47 168 691
48 170 702
49 168 693
50 165 697
51 168 698
52 167 699
53 166 700
54 169 708
55 169 701
56 168 705
57 166 704
58 167 707
59 167 701
60 168 704
61 166 704
