1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 1 0
90 1 0
91 0 0
92 0 0
93 2 0
94 1 0
95 1 0
96 0 0
97 0 0
98 1 0
99 0 0
100 1 0
101 2 0
102 2 0
103 3 0
104 5 0
105 7 0
106 5 0
107 9 0
108 8 1
109 7 6
110 7 11
111 6 13
112 8 21
113 7 30
114 3 41
115 2 78
116 2 102
117 1 173
118 1 239
119 1 304
120 2 375
121 0 419
122 0 487
123 0 532
124 0 563
125 0 571
126 0 564
127 1 524
128 0 493
129 0 453
130 1 417
131 2 384
132 5 339
133 7 335
134 9 311
135 12 294
136 11 287
137 12 293
138 12 312
139 11 339
140 10 365
141 7 380
142 6 391
143 8 405
144 5 430
145 7 446
146 7 444
147 6 429
148 7 434
149 8 432
150 8 422
151 10 420
152 11 397
153 12 403
154 13 398
155 14 401
156 13 389
157 12 378
158 15 383
159 11 396
160 12 394
161 13 402
162 12 413
163 12 404
164 14 407
165 14 420
166 16 419
167 14 425
168 13 417
169 13 416
170 16 417
171 17 411
172 17 414
173 19 412
174 20 419
175 20 418
176 20 411
177 21 407
178 24 415
179 22 416
180 22 424
181 22 413
182 25 406
183 26 417
184 22 419
185 23 418
186 21 413
187 23 411
188 23 419
189 23 412
190 24 405
191 30 407
192 34 417
193 29 419
194 30 420
195 32 418
196 31 404
197 31 407
198 33 424
199 30 423
200 32 422
201 33 428
202 37 434
203 39 438
204 36 431
205 41 432
206 43 434
207 44 431
208 38 423
209 43 425
210 40 423
211 39 430
212 44 423
213 44 431
214 45 433
215 43 436
216 42 434
217 41 436
218 47 433
219 46 429
220 50 438
221 46 433
222 47 445
223 49 443
224 50 441
225 49 442
226 49 430
227 54 434
228 53 445
229 49 442
230 52 452
231 51 442
232 51 444
233 54 442
234 53 442
235 56 437
236 55 440
237 56 460
238 54 455
239 52 456
240 57 465
241 55 465
242 60 460
243 62 459
244 60 464
245 61 466
246 56 467
247 66 458
248 61 470
